Enter Java directory: 
PyTerrier 0.10.0 has loaded Terrier 5.8 (built by craigm on 2023-11-01 18:05) and terrier-helper 0.0.8

No etc/terrier.properties, using terrier.default.properties for bootstrap configuration.
                          detail        name  num_rel_ret  recall_5  recall_10  recall_15       P_5      P_10      P_15       map  recip_rank      ndcg        mrt
0                        control    BR(BM25)       1127.0  0.048888   0.090672   0.116410  0.148387  0.129032  0.120430  0.097572    0.256809  0.292574  14.589211
1                        stm=n/a    BR(BM25)       1726.0  0.127538   0.179935   0.220209  0.361290  0.292473  0.251613  0.218877    0.652691  0.526048  16.260642
2                        stp=n/a    BR(BM25)        853.0  0.047542   0.060839   0.070711  0.109677  0.081720  0.068817  0.060945    0.207662  0.213905  17.865337
3                     tkn=whtspc    BR(BM25)       1127.0  0.048888   0.090672   0.116410  0.148387  0.129032  0.120430  0.097572    0.256809  0.292574  11.459826
4               stm=n/a, stp=n/a    BR(BM25)       1538.0  0.086218   0.126533   0.158417  0.236559  0.195699  0.182796  0.143471    0.516597  0.420985  18.433378
5            stm=n/a, tkn=whtspc    BR(BM25)       1726.0  0.127538   0.179935   0.220209  0.361290  0.292473  0.251613  0.218877    0.652691  0.526048  15.337186
6            stp=n/a, tkn=whtspc    BR(BM25)        853.0  0.047542   0.060839   0.070711  0.109677  0.081720  0.068817  0.060945    0.207662  0.213905  17.336354
7   stm=n/a, stp=n/a, tkn=whtspc    BR(BM25)       1726.0  0.127538   0.179935   0.220209  0.361290  0.292473  0.251613  0.218877    0.652691  0.526048  16.166791
8                        control  BR(TF_IDF)       1127.0  0.047333   0.088834   0.109754  0.141935  0.127957  0.119713  0.096089    0.250792  0.290848  11.767285
9                        stm=n/a  BR(TF_IDF)       1733.0  0.127676   0.177352   0.219452  0.363441  0.290323  0.250179  0.211449    0.647223  0.521665  16.118546
10                       stp=n/a  BR(TF_IDF)       1185.0  0.056166   0.093600   0.109733  0.152688  0.136559  0.120430  0.098804    0.310287  0.304975  17.725856
11                    tkn=whtspc  BR(TF_IDF)       1127.0  0.047333   0.088834   0.109754  0.141935  0.127957  0.119713  0.096089    0.250792  0.290848  11.256738
12              stm=n/a, stp=n/a  BR(TF_IDF)       1727.0  0.120758   0.169423   0.203316  0.352688  0.278495  0.235842  0.207454    0.646219  0.516175  17.887594
13           stm=n/a, tkn=whtspc  BR(TF_IDF)       1733.0  0.127676   0.177352   0.219452  0.363441  0.290323  0.250179  0.211449    0.647223  0.521665  15.450868
14           stp=n/a, tkn=whtspc  BR(TF_IDF)       1185.0  0.056166   0.093600   0.109733  0.152688  0.136559  0.120430  0.098804    0.310287  0.304975  17.072842
15  stm=n/a, stp=n/a, tkn=whtspc  BR(TF_IDF)       1733.0  0.127676   0.177352   0.219452  0.363441  0.290323  0.250179  0.211449    0.647223  0.521665  15.570320
16                       control      BR(Tf)       1153.0  0.030051   0.043345   0.049524  0.096774  0.078495  0.065233  0.053050    0.228643  0.251529  11.242212
17                       stm=n/a      BR(Tf)       1708.0  0.071486   0.110664   0.133816  0.225806  0.190323  0.165591  0.128206    0.431208  0.427329  15.340688
18                       stp=n/a      BR(Tf)        605.0  0.001734   0.006691   0.009210  0.012903  0.019355  0.017921  0.009833    0.040651  0.105148  17.846504
19                    tkn=whtspc      BR(Tf)       1153.0  0.030051   0.043345   0.049524  0.096774  0.078495  0.065233  0.053050    0.228643  0.251529  11.346604
20              stm=n/a, stp=n/a      BR(Tf)        829.0  0.004450   0.009760   0.015460  0.032258  0.031183  0.030824  0.019372    0.097751  0.148685  17.839517
21           stm=n/a, tkn=whtspc      BR(Tf)       1708.0  0.071486   0.110664   0.133816  0.225806  0.190323  0.165591  0.128206    0.431208  0.427329  15.612544
22           stp=n/a, tkn=whtspc      BR(Tf)        605.0  0.001734   0.006691   0.009210  0.012903  0.019355  0.017921  0.009833    0.040651  0.105148  18.256517
23  stm=n/a, stp=n/a, tkn=whtspc      BR(Tf)       1708.0  0.071486   0.110664   0.133816  0.225806  0.190323  0.165591  0.128206    0.431208  0.427329  15.715020
